customer_id,signup_date,acquisition_channel,country
cust_000001,2026-05-05,organic,US
cust_000002,2026-02-17,organic,US
cust_000003,2026-05-12,affiliate,PT
cust_000004,2026-04-25,paid_search,BR
cust_000005,2026-02-12,organic,US
cust_000006,2026-04-19,organic,US
cust_000007,2026-04-16,paid_search,PT
cust_000008,2026-02-24,social,BR
cust_000009,2026-06-06,organic,PT
cust_000010,2026-02-23,organic,ES
cust_000011,2026-03-07,organic,BR
cust_000012,2026-03-11,social,US
cust_000013,2026-06-06,organic,PT
cust_000014,2026-01-25,referral,BR
cust_000015,2026-04-18,organic,US
cust_000016,2026-06-21,social,US
cust_000017,2026-05-17,organic,US
cust_000018,2026-05-31,organic,BR
cust_000019,2026-02-15,social,BR
cust_000020,2026-03-30,affiliate,BR
cust_000021,2026-03-13,paid_search,US
cust_000022,2026-05-17,referral,US
cust_000023,2026-04-29,affiliate,PT
cust_000024,2026-02-17,organic,BR
cust_000025,2026-06-29,affiliate,US
cust_000026,2026-05-13,organic,DE
cust_000027,2026-01-11,organic,BR
cust_000028,2026-03-03,paid_search,BR
cust_000029,2026-06-27,referral,DE
cust_000030,2026-03-03,organic,PT
cust_000031,2026-06-21,social,PT
cust_000032,2026-02-21,organic,US
cust_000033,2026-04-15,organic,US
cust_000034,2026-06-24,paid_search,BR
cust_000035,2026-01-27,paid_search,BR
cust_000036,2026-01-10,social,BR
cust_000037,2026-02-01,affiliate,PT
cust_000038,2026-01-13,paid_search,US
cust_000039,2026-04-01,paid_search,ES
cust_000040,2026-06-17,referral,US
cust_000041,2026-01-23,affiliate,PT
cust_000042,2026-02-21,affiliate,BR
cust_000043,2026-02-26,paid_search,PT
cust_000044,2026-05-21,social,BR
cust_000045,2026-04-08,affiliate,PT
cust_000046,2026-01-21,social,BR
cust_000047,2026-05-05,paid_search,BR
cust_000048,2026-03-14,affiliate,PT
cust_000049,2026-06-01,referral,ES
cust_000050,2026-04-27,organic,BR
cust_000051,2026-03-12,social,DE
cust_000052,2026-03-01,organic,BR
cust_000053,2026-04-21,referral,BR
cust_000054,2026-04-05,social,ES
cust_000055,2026-04-14,affiliate,BR
cust_000056,2026-04-03,referral,BR
cust_000057,2026-04-13,social,PT
cust_000058,2026-02-11,referral,DE
cust_000059,2026-05-14,organic,BR
cust_000060,2026-05-11,affiliate,PT
cust_000061,2026-04-11,paid_search,BR
cust_000062,2026-01-13,organic,US
cust_000063,2026-02-14,paid_search,BR
cust_000064,2026-05-18,affiliate,BR
cust_000065,2026-06-25,organic,BR
cust_000066,2026-04-10,organic,US
cust_000067,2026-02-11,paid_search,US
cust_000068,2026-06-21,paid_search,PT
cust_000069,2026-06-02,paid_search,PT
cust_000070,2026-01-19,organic,PT
cust_000071,2026-03-24,paid_search,DE
cust_000072,2026-01-11,affiliate,ES
cust_000073,2026-01-20,organic,US
cust_000074,2026-06-05,social,BR
cust_000075,2026-02-06,paid_search,BR
cust_000076,2026-02-05,organic,BR
cust_000077,2026-06-29,organic,DE
cust_000078,2026-06-16,paid_search,BR
cust_000079,2026-04-15,social,ES
cust_000080,2026-06-29,affiliate,BR
cust_000081,2026-03-20,paid_search,BR
cust_000082,2026-03-19,social,BR
cust_000083,2026-01-01,referral,BR
cust_000084,2026-06-02,affiliate,BR
cust_000085,2026-05-16,referral,ES
cust_000086,2026-04-18,affiliate,PT
cust_000087,2026-02-06,organic,ES
cust_000088,2026-04-23,affiliate,BR
cust_000089,2026-03-02,organic,US
cust_000090,2026-04-08,social,PT
cust_000091,2026-01-12,referral,BR
cust_000092,2026-02-06,organic,BR
cust_000093,2026-06-17,organic,BR
cust_000094,2026-06-22,paid_search,US
cust_000095,2026-01-08,affiliate,PT
cust_000096,2026-04-24,paid_search,BR
cust_000097,2026-02-20,organic,US
cust_000098,2026-02-16,organic,BR
cust_000099,2026-05-06,organic,BR
cust_000100,2026-05-26,referral,BR
cust_000101,2026-05-01,referral,ES
cust_000102,2026-01-15,paid_search,PT
cust_000103,2026-01-26,referral,DE
cust_000104,2026-06-20,organic,BR
cust_000105,2026-03-27,social,US
cust_000106,2026-04-29,referral,DE
cust_000107,2026-04-13,organic,DE
cust_000108,2026-02-28,referral,BR
cust_000109,2026-06-20,organic,BR
cust_000110,2026-01-21,affiliate,BR
cust_000111,2026-02-24,affiliate,US
cust_000112,2026-02-09,affiliate,DE
cust_000113,2026-04-09,paid_search,ES
cust_000114,2026-06-14,organic,US
cust_000115,2026-06-11,organic,BR
cust_000116,2026-05-30,organic,ES
cust_000117,2026-02-01,affiliate,US
cust_000118,2026-03-25,paid_search,BR
cust_000119,2026-06-21,affiliate,BR
cust_000120,2026-01-07,social,US
cust_000121,2026-01-29,paid_search,BR
cust_000122,2026-03-12,social,DE
cust_000123,2026-06-17,organic,BR
cust_000124,2026-05-13,organic,BR
cust_000125,2026-06-01,paid_search,DE
cust_000126,2026-05-01,affiliate,ES
cust_000127,2026-02-15,social,ES
cust_000128,2026-06-07,organic,PT
cust_000129,2026-02-04,affiliate,BR
cust_000130,2026-03-21,social,DE
cust_000131,2026-06-07,organic,BR
cust_000132,2026-05-17,organic,DE
cust_000133,2026-06-16,paid_search,BR
cust_000134,2026-06-28,paid_search,BR
cust_000135,2026-06-04,social,BR
cust_000136,2026-05-09,organic,BR
cust_000137,2026-06-17,organic,DE
cust_000138,2026-03-10,affiliate,BR
cust_000139,2026-06-13,paid_search,ES
cust_000140,2026-01-23,social,BR
cust_000141,2026-04-23,referral,BR
cust_000142,2026-01-22,paid_search,BR
cust_000143,2026-06-02,organic,US
