session_id,customer_id,started_at,duration_seconds,end_reason,device_type
sess_00000001,,2026-01-01 17:44:36,23,no_activity,mobile
sess_00000002,cust_001095,2026-01-01 20:20:44,11,no_activity,mobile
sess_00000003,cust_001176,2026-01-01 11:48:29,204,no_activity,tablet
sess_00000004,,2026-01-01 12:24:53,456,no_activity,mobile
sess_00000005,cust_001759,2026-01-01 16:28:29,6,no_activity,desktop
sess_00000006,,2026-01-01 20:46:43,11,no_activity,desktop
sess_00000007,,2026-01-01 05:09:31,15,no_activity,mobile
sess_00000008,,2026-01-01 19:30:53,251,no_activity,mobile
sess_00000009,cust_002270,2026-01-01 17:57:20,12,no_activity,desktop
sess_00000010,,2026-01-01 16:00:07,498,no_activity,desktop
sess_00000011,,2026-01-01 12:00:03,20,no_activity,mobile
sess_00000012,,2026-01-01 17:22:23,126,no_activity,mobile
sess_00000013,,2026-01-01 11:22:27,229,no_activity,tablet
sess_00000014,cust_001832,2026-01-01 11:49:05,1351,no_activity,desktop
sess_00000015,,2026-01-01 16:13:03,112,no_activity,desktop
sess_00000016,cust_000855,2026-01-01 12:42:43,716,no_activity,desktop
sess_00000017,,2026-01-01 08:50:04,429,no_activity,mobile
sess_00000018,,2026-01-01 07:52:12,862,no_activity,desktop
sess_00000019,cust_002361,2026-01-01 11:08:34,613,no_activity,tablet
sess_00000020,cust_001313,2026-01-01 10:49:41,227,no_activity,desktop
sess_00000021,cust_002989,2026-01-01 06:59:12,465,no_activity,desktop
sess_00000022,cust_001261,2026-01-01 18:33:36,1644,logout,desktop
sess_00000023,,2026-01-01 16:11:57,1142,no_activity,desktop
sess_00000024,,2026-01-01 13:09:14,26,no_activity,desktop
sess_00000025,cust_000399,2026-01-01 12:00:37,167,timeout,desktop
sess_00000026,,2026-01-01 20:49:43,196,no_activity,mobile
sess_00000027,,2026-01-01 13:03:54,1364,timeout,mobile
sess_00000028,,2026-01-01 13:31:34,32,no_activity,mobile
sess_00000029,cust_000782,2026-01-01 21:19:31,237,timeout,desktop
sess_00000030,,2026-01-01 09:44:50,1966,no_activity,mobile
sess_00000031,,2026-01-01 05:29:27,264,no_activity,desktop
sess_00000032,,2026-01-01 17:14:10,3,no_activity,mobile
sess_00000033,,2026-01-01 08:41:26,119,no_activity,mobile
sess_00000034,,2026-01-01 18:54:50,309,no_activity,mobile
sess_00000035,,2026-01-01 10:24:13,663,no_activity,mobile
sess_00000036,,2026-01-01 13:25:57,187,no_activity,desktop
sess_00000037,,2026-01-01 15:02:03,2095,no_activity,mobile
sess_00000038,,2026-01-01 15:20:30,145,no_activity,mobile
sess_00000039,,2026-01-01 19:21:29,449,no_activity,mobile
